date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:09	97154/97154	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Feb%202026%2015:33:09%20GMT	https://quantumlabtemplate.webflow.io/homepage.html	C:/Users/PC/Desktop/website/quantumlabtemplate.webflow.io/homepage.html.html	(from )
10:56:10	45/45	U-----	200	untouched ('OK')	text/plain	date:Tue,%2010%20Feb%202026%2019:45:57%20GMT	https://quantumlabtemplate.webflow.io/robots.txt		(from )
10:56:11	70493/70493	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jan%202026%2019:29:14%20GMT	https://quantumlabtemplate.webflow.io/home-pages/home-v2	C:/Users/PC/Desktop/website/quantumlabtemplate.webflow.io/home-pages/home-v2.html	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:56:11	69819/69819	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Feb%202026%2023:45:53%20GMT	https://quantumlabtemplate.webflow.io/home-pages/home-v3	C:/Users/PC/Desktop/website/quantumlabtemplate.webflow.io/home-pages/home-v3.html	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:56:11	13188/13188	U-----	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/PC/Desktop/website/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:56:12	253916/253916	U-----	200	untouched ('OK')	text/css	etag:W/%2267446218a7ae3d138b8bfabf450e6eaf%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/css/quantumlabtemplate.webflow.shared.67446218a.css	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/css/quantumlabtemplate.webflow.shared.67446218a.css	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:56:12	72550/72550	---M--	200	added ('OK')	image/jpeg	etag:%22e7b347fda162396a8f792780224cd0fe%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/68a612636043d8e5dcb04ad0_about-us-video-thumbnail-quantum-webflow-template.jpg	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/68a612636043d8e5dcb04ad0_about-us-video-thumbnail-quantum-webflow-template.jpg	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:56:13	13141/13141	---M--	200	added ('OK')	image/png	etag:%226ad1785919d7ac3c50d53a1427f23bf3%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e7e2a643b738b2cb06fc_ai-powered-predictive-models-and-their-impact-thumbnail-quantum-webflow-template.png	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e7e2a643b738b2cb06fc_ai-powered-predictive-models-and-their-impact-thumbnail-quantum-webflow-template.png	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:56:13	12824/12824	---M--	200	added ('OK')	image/png	etag:%22dffacf8a46cbf4b1cc7b7b3b0784c5b7%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e7c24025d4081cbfa426_how-ai-is-shaping-the-future-thumbnail-quantum-webflow-template.png	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e7c24025d4081cbfa426_how-ai-is-shaping-the-future-thumbnail-quantum-webflow-template.png	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:56:13	505862/505862	---MCZ	200	added ('OK')	text/javascript	etag:W/%228f51bb4e58f8d22362e18aa7425e4c0f%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.schunk.1781fa3fcd2209b2.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.schunk.1781fa3fcd2209b2.js	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:56:13	4419/4419	U-----	200	untouched ('')	image/png	etag:%221568fc9a5ccd5e0e5d3261b9493edc2c%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/690521077a4dbcce40866f20_webflow-logo.png	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/690521077a4dbcce40866f20_webflow-logo.png	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:56:13	10939/10939	---MCZ	200	added ('OK')	text/javascript	etag:W/%224fe6085dfed0fdbe4ddb3e9bbe6791c0%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.134c3f86.df5a8773c5822d2b.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.134c3f86.df5a8773c5822d2b.js	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:56:14	4549/4549	U-----	200	untouched ('')	image/png	etag:%220bc7b4a13a120b870c45369dd88e5bd5%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/690521077a4dbcce40866f1d_customize-your-webflow-template-brix-templates.png	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/690521077a4dbcce40866f1d_customize-your-webflow-template-brix-templates.png	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:57:17	89476/89476	U-----	200	untouched ('')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=68a342b7066c56fa60eb3af1	C:/Users/PC/Desktop/website/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c88014.js	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:57:17	72779/72779	U-----	200	untouched ('')	text/javascript	etag:W/%22b729ff7f59f3391835501f2900ecd857%22	https://cdn.prod.website-files.com/gsap/3.14.2/gsap.min.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/gsap/3.14.2/gsap.min.js	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:57:27	346806/346806	U-----	200	untouched ('')	text/javascript	etag:W/%22cb06e024360e96e40ecf8afff9cae403%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.schunk.e0c428ff9737f919.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.schunk.e0c428ff9737f919.js	(from https://quantumlabtemplate.webflow.io/homepage.html)
10:57:31	225048/225048	U-----	200	untouched ('')	text/javascript	etag:W/%22e9595c638f7b3adcff845b933ab02c62%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.schunk.85a2021882e7f196.js	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/js/webflow.schunk.85a2021882e7f196.js	(from https://quantumlabtemplate.webflow.io/homepage.html)
