date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:35	100084/100084	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Feb%202026%2006:11:45%20GMT	https://quantumlabtemplate.webflow.io/pages/about.html	C:/Users/PC/Desktop/website/quantumlabtemplate.webflow.io/pages/about.html.html	(from )
10:26:36	45/45	---MCZ	200	added ('OK')	text/plain	date:Tue,%2010%20Feb%202026%2019:45:57%20GMT	https://quantumlabtemplate.webflow.io/robots.txt		(from )
10:26:37	253916/253916	---MCZ	200	added ('OK')	text/css	etag:W/%2267446218a7ae3d138b8bfabf450e6eaf%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/css/quantumlabtemplate.webflow.shared.67446218a.css	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3af1/css/quantumlabtemplate.webflow.shared.67446218a.css	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:11	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/PC/Desktop/website/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:12	66919/66919	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2022:42:43%20GMT	/pages/careers.html	C:/Users/PC/Desktop/website/quantumlabtemplate.webflow.io/pages/careers.html.html	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:13	30909/30909	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Feb%202026%2015:33:49%20GMT	https://quantumlabtemplate.webflow.io/company-pages/coming-soon	C:/Users/PC/Desktop/website/quantumlabtemplate.webflow.io/company-pages/coming-soon.html	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:14	25868/25868	---M--	200	added ('OK')	image/jpeg	etag:%22bba43d0a14b0086ffb1d878e6dd40beb%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e5ff7b59be67bb3ac207_john-carter-avatar-quantum-webflow-template.jpg	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e5ff7b59be67bb3ac207_john-carter-avatar-quantum-webflow-template.jpg	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:15	17462/17462	---M--	200	added ('OK')	image/jpeg	etag:%22d847ed42509c08942c27cad012f4709d%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e5d29b2f76acd088f052_sophie-moore-avatar-quantum-webflow-template.jpg	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e5d29b2f76acd088f052_sophie-moore-avatar-quantum-webflow-template.jpg	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:15	12302/12302	---M--	200	added ('OK')	image/jpeg	etag:%22782bf9011de33d60da8688898e2594c1%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e5b658f5ca9f60fd5e16_lilly-woods-avatar-quantum-webflow-template.jpg	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e5b658f5ca9f60fd5e16_lilly-woods-avatar-quantum-webflow-template.jpg	(from https://quantumlabtemplate.webflow.io/pages/about.html)
10:27:15	22137/22137	---M--	200	added ('OK')	image/jpeg	etag:%22f062e9f0189c3b2fa615503249677bbf%22	https://cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e5268e58fa10010ce586_matt-cannon-avatar-quantum-webflow-template.jpg	C:/Users/PC/Desktop/website/cdn.prod.website-files.com/68a342b7066c56fa60eb3b39/68a6e5268e58fa10010ce586_matt-cannon-avatar-quantum-webflow-template.jpg	(from https://quantumlabtemplate.webflow.io/pages/about.html)
